year,Total Population (Number),Population growth (annual percentage),Population density (number of people per kilometer of land area),Gender ratio of birth population (females per 1000 males),Elderly dependency ratio (as a percentage of working age population),Dependency ratio (percentage of working age population),net migration,Total fertility rate (per capita female fertility),Population female,Population ages 65 and above female (% of female population),Population ages 60-64 female (% of female population),Population ages 55-59 female (% of female population),Population ages 50-54 female (% of female population),Population ages 45-49 female (% of female population),Population ages 40-44  female (% of female population),Population ages 35-39  female (% of female population),Population ages 30-34  female (% of female population),Population ages 25-29  female (% of female population),Population ages 20-24  female (% of female population),Population ages 15-19  female (% of female population),Population ages 10-14  female (% of female population),Population ages 5-9  female (% of female population),Population ages 0-4  female (% of female population),Population  male,Population ages 65 and above  male (% of male population),Population ages 60-64  male (% of male population),Population ages 55-59  male (% of male population),Population ages 50-54  male (% of male population),Population ages 45-49  male (% of male population),Population ages 40-44  male (% of male population),Population ages 35-39  male (% of male population),Population ages 30-34  male (% of male population),Population ages 25-29  male (% of male population),Population ages 20-24  male (% of male population),Population ages 15-19  male (% of male population),Population ages 10-14  male (% of male population),Population ages 5-9  male (% of male population),Population ages 0-4  male (% of male population)
1960,667070000 ,,,1.06 ,7.12 ,79.57 ,-118519 ,4.45 ,325931004 ,4.70 ,2.67 ,3.56 ,4.13 ,4.61 ,5.16 ,5.83 ,6.42 ,7.30 ,7.55 ,7.97 ,10.46 ,14.65 ,14.99 ,341138996 ,3.27 ,2.31 ,3.21 ,3.86 ,4.56 ,5.11 ,5.91 ,6.70 ,7.75 ,8.24 ,8.52 ,10.80 ,14.68 ,15.09 
1961,660330000 ,-1.02,70.34 ,1.06 ,6.92 ,78.16 ,-179064 ,3.86 ,322879907 ,4.61 ,2.69 ,3.60 ,4.09 ,4.67 ,5.19 ,5.87 ,6.50 ,7.40 ,7.50 ,8.14 ,11.18 ,14.88 ,13.69 ,337450093 ,3.18 ,2.30 ,3.21 ,3.84 ,4.61 ,5.14 ,5.97 ,6.81 ,7.86 ,8.21 ,8.64 ,11.44 ,14.94 ,13.83
1962,665770000 ,0.82 ,70.92 ,1.06 ,6.81 ,78.05 ,-219144 ,6.09 ,325743240 ,4.55 ,2.72 ,3.58 ,4.03 ,4.70 ,5.16 ,5.85 ,6.53 ,7.37 ,7.40 ,8.32 ,11.86 ,14.83 ,13.11 ,340026760 ,3.13 ,2.31 ,3.19 ,3.81 ,4.61 ,5.14 ,5.98 ,6.86 ,7.88 ,8.07 ,8.80 ,12.02 ,14.93 ,13.26 
1963,682335000 ,2.46 ,72.68 ,1.06 ,6.76 ,79.88 ,-219686 ,7.51 ,334009147 ,4.48 ,2.74 ,3.51 ,3.95 ,4.61 ,5.10 ,5.78 ,6.47 ,7.15 ,7.21 ,8.53 ,12.34 ,14.41 ,13.71 ,348325853 ,3.06 ,2.31 ,3.11 ,3.77 ,4.52 ,5.10 ,5.95 ,6.84 ,7.70 ,7.82 ,8.98 ,12.42 ,14.54 ,13.87 
1964,698355000 ,2.32 ,74.39 ,1.06 ,6.69 ,81.58 ,-183384 ,6.67 ,341994742 ,4.40 ,2.77 ,3.44 ,3.90 ,4.49 ,5.07 ,5.69 ,6.43 ,6.87 ,7.08 ,8.82 ,12.63 ,13.54 ,14.87 ,356360258 ,3.00 ,2.32 ,3.06 ,3.75 ,4.38 ,5.09 ,5.89 ,6.82 ,7.45 ,7.63 ,9.20 ,12.68 ,13.71 ,15.05 
1965,715185000 ,2.38 ,76.18 ,1.06 ,6.64 ,82.23 ,-128537 ,6.61 ,350380356 ,4.36 ,2.79 ,3.38 ,3.86 ,4.41 ,5.04 ,5.61 ,6.39 ,6.62 ,7.03 ,9.24 ,12.83 ,12.42 ,16.02 ,364804644 ,2.95 ,2.32 ,3.01 ,3.73 ,4.30 ,5.09 ,5.84 ,6.78 ,7.23 ,7.52 ,9.55 ,12.87 ,12.59 ,16.22 
1966,735400000 ,2.79 ,78.33 ,1.06 ,6.62 ,82.41 ,-73698 ,6.31 ,360413808 ,4.36 ,2.79 ,3.29 ,3.85 ,4.35 ,4.98 ,5.56 ,6.34 ,6.44 ,7.03 ,9.69 ,12.81 ,11.36 ,17.14 ,374986192 ,2.93 ,2.31 ,2.97 ,3.72 ,4.27 ,5.05 ,5.82 ,6.74 ,7.05 ,7.47 ,9.91 ,12.88 ,11.53 ,17.37 
1967,754550000 ,2.57 ,80.37 ,1.06 ,6.62 ,81.78 ,-37406 ,5.81 ,369907738 ,4.37 ,2.76 ,3.23 ,3.85 ,4.31 ,4.93 ,5.54 ,6.27 ,6.31 ,7.13 ,10.20 ,12.69 ,10.87 ,17.54 ,384642262 ,2.94 ,2.29 ,2.93 ,3.70 ,4.24 ,5.02 ,5.82 ,6.70 ,6.89 ,7.55 ,10.33 ,12.78 ,11.03 ,17.78 
1968,774510000 ,2.61 ,82.50 ,1.06 ,6.64 ,81.17 ,-37291 ,6.51 ,379774515 ,4.40 ,2.72 ,3.19 ,3.80 ,4.28 ,4.90 ,5.52 ,6.12 ,6.19 ,7.35 ,10.67 ,12.38 ,11.39 ,17.09 ,394735485 ,2.95 ,2.26 ,2.93 ,3.65 ,4.23 ,5.02 ,5.83 ,6.58 ,6.70 ,7.73 ,10.72 ,12.50 ,11.55 ,17.35 
1969,796025000 ,2.74 ,84.79 ,1.06 ,6.67 ,80.96 ,-72835 ,6.18 ,390378367 ,4.43 ,2.69 ,3.16 ,3.72 ,4.27 ,4.84 ,5.51 ,5.91 ,6.10 ,7.63 ,10.96 ,11.69 ,12.42 ,16.65 ,405646633 ,2.97 ,2.24 ,2.93 ,3.56 ,4.25 ,4.99 ,5.83 ,6.39 ,6.56 ,7.96 ,10.98 ,11.83 ,12.59 ,16.91 
