year,Total Population (Number),Resident Population (Number),Singapore Citizen Population (Number),Permanent Resident Population (Number),Non-Resident Population (Number),Total Population Growth (Per Cent),Resident Population Growth (Per Cent),Population Density (Total Population Per Square Kilometre),Sex Ratio (Males Per Thousand Females),Median Age Of Resident Population (Years),Median Age Of Citizen Population (Years),Old-Age Support Ratio:Residents Aged 15-64 Years Per Resident Aged 65 Years & Over (Number),Age Dependency Ratio:Residents Aged Under 15 Years And 65 Years Per Hundred Residents Aged 15-64 Years (Number),Child Dependency Ratio:Residents Aged Under 15 Years Per Hundred Residents Aged 15-64 Years (Number),Old-Age Dependency Ratio:Residents Aged 65 Years & Over Per Hundred Residents Aged 15-64 Years (Number),Old-Age Support Ratio:Residents Aged 20-64 Years Per Resident Aged 65 Years & Over (Number),Age Dependency Ratio:Residents Aged Under 20 Years And 65 Years & Over Per Hundred Residents Aged 20-64 Years (Number),Child Dependency Ratio:Residents Aged Under 20 Years Per Hundred Residents Aged 20-64 Years (Number),Old-Age Dependency Ratio:Residents Aged 65 Years & Over Per Hundred Residents Aged 20-64 Years (Number),Old-Age Support Ratio:Citizens Aged 15-64 Years Per Citizen Aged 65 Years & Over (Number),Age Dependency Ratio:Citizens Aged Under 15 Years And 65 Years & Over Per Hundred Citizens Aged 15-64 Years (Number),Child Dependency Ratio:Citizens Aged Under 15 Years Per Hundred Citizens Aged 15-64 Years (Number),Old-Age Dependency Ratio:Citizens Aged 65 Years & Over Per Hundred Citizens Aged 15-64 Years (Number),Old-Age Support Ratio:Citizens Aged 20-64 Years Per Citizen Aged 65 Years & Over (Number),Age Dependency Ratio:Citizens Aged Under 20 Years And 65 Years & Over Per Hundred Citizens Aged 20-64 Years (Number),Child Dependency Ratio:Citizens Aged Under 20 Years Per Hundred Citizens Aged 20-64 Years (Number),Old-Age Dependency Ratio:Citizens Aged 65 Years & Over Per Hundred Citizens Aged 20-64 Years (Number),Resident tural Increase (Number),Rate Of tural Increase (Per Thousand Residents)
1950 ,1022100 ,,,,,4.4 ,,,1173 ,,,,,,,,,,,,,,,,,,,34059 ,33.4 
1951 ,1068100 ,,,,,4.5 ,,,1159 ,,,,,,,,,,,,,,,,,,,35735 ,33.4 
1952 ,1127000 ,,,,,5.5 ,,,1153 ,,,,,,,,,,,,,,,,,,,39136 ,34.7 
1953 ,1191800 ,,,,,5.7 ,,,1149 ,,,,,,,,,,,,,,,,,,,42992 ,36.1 
1954 ,1248200 ,,,,,4.7 ,,,1138 ,,,,,,,,,,,,,,,,,,,46239 ,37.1 
1955 ,1305500 ,,,,,4.6 ,,,1129 ,,,,,,,,,,,,,,,,,,,47239 ,36.2 
1956 ,1371600 ,,,,,5.1 ,,,1122 ,,,,,,,,,,,,,,,,,,,50654 ,36.9 
1957 ,1445929 ,,,,,5.4 ,,2486 ,1117 ,18.8 ,,25.6 ,81.7 ,77.8 ,3.9 ,21.3 ,119.1 ,114.3 ,4.7 ,,,,,,,,,51110 ,35.3 
1958 ,1518800 ,,,,,5.0 ,,,1106 ,18.5 ,,24.4 ,85.1 ,81.0 ,4.1 ,20.4 ,121.3 ,116.4 ,4.9 ,,,,,,,,,51919 ,34.2 
1959 ,1587200 ,,,,,4.5 ,,,1098 ,18.3 ,,23.7 ,87.6 ,83.4 ,4.2 ,20.0 ,122.1 ,117.1 ,5.0 ,,,,,,,,,52289 ,32.9 
1960 ,1646400 ,,,,,3.7 ,,2831 ,1093 ,18.0 ,,23.0 ,91.2 ,86.8 ,4.4 ,19.6 ,123.5 ,118.4 ,5.1 ,,,,,,,,,51565 ,31.3 
1961 ,1702400 ,,,,,3.4 ,,2928 ,1087 ,17.9 ,,22.8 ,92.7 ,88.3 ,4.4 ,19.6 ,124.4 ,119.3 ,5.1 ,,,,,,,,,49903 ,29.3 
1962 ,1750200 ,,,,,2.8 ,,3010 ,1082 ,17.8 ,,22.0 ,91.9 ,87.3 ,4.5 ,18.6 ,126.7 ,121.3 ,5.4 ,,,,,,,,,48799 ,27.9 
1963 ,1795000 ,,,,,2.6 ,,3087 ,1073 ,17.7 ,,21.5 ,90.9 ,86.3 ,4.7 ,17.8 ,129.8 ,124.2 ,5.6 ,,,,,,,,,49392 ,27.5 
1964 ,1841600 ,,,,,2.6 ,,3167 ,1069 ,17.8 ,,21.3 ,89.5 ,84.8 ,4.7 ,17.4 ,131.4 ,125.6 ,5.7 ,,,,,,,,,47783 ,25.9 
1965 ,1886900 ,,,,,2.5 ,,3245 ,1066 ,17.8 ,,21.0 ,87.6 ,82.8 ,4.8 ,16.9 ,133.7 ,127.8 ,5.9 ,,,,,,,,,45462 ,24.1 
1966 ,1934400 ,,,,,2.5 ,,3327 ,1061 ,17.9 ,,20.2 ,86.3 ,81.3 ,4.9 ,16.0 ,135.0 ,128.7 ,6.2 ,,,,,,,,,44236 ,22.9 
1967 ,1977600 ,,,,,2.2 ,,3392 ,1060 ,18.2 ,,19.7 ,84.0 ,79.0 ,5.1 ,15.6 ,132.1 ,125.7 ,6.4 ,,,,,,,,,40037 ,20.2 
1968 ,2012000 ,,,,,1.7 ,,3443 ,1057 ,18.5 ,,19.2 ,81.3 ,76.1 ,5.2 ,15.2 ,128.7 ,122.1 ,6.6 ,,,,,,,,,36259 ,18.0 
1969 ,2042500 ,,,,,1.5 ,,3490 ,1052 ,18.9 ,,19.0 ,78.1 ,72.8 ,5.3 ,15.0 ,124.9 ,118.2 ,6.7 ,,,,,,,,,34338 ,16.8 
1970 ,2074507 ,2013563 ,1874778 ,138785 ,60944 ,2.8 ,,3538 ,1049 ,19.5 ,18.6 ,17.0 ,73.9 ,68.1 ,5.9 ,13.5 ,119.6 ,112.2 ,7.4 ,17.2 ,79.0 ,73.2 ,5.8 ,13.5 ,128.5 ,121.1 ,7.4 ,35217 ,17.0 
1971 ,2112900 ,,,,,1.9 ,,3603 ,1048 ,20.1 ,,16.9 ,70.1 ,64.2 ,5.9 ,13.4 ,114.3 ,106.8 ,7.5 ,,,,,,,,,35759 ,16.9 
1972 ,2152400 ,,,,,1.9 ,,3671 ,1047 ,20.4 ,,16.3 ,67.4 ,61.3 ,6.1 ,12.9 ,111.6 ,103.9 ,7.8 ,,,,,,,,,38156 ,17.7 
1973 ,2193000 ,,,,,1.9 ,,3740 ,1046 ,20.9 ,,16.0 ,64.6 ,58.4 ,6.3 ,12.7 ,108.1 ,100.2 ,7.9 ,,,,,,,,,36349 ,16.6 
1974 ,2229800 ,,,,,1.7 ,,3795 ,1046 ,21.4 ,,15.5 ,62.0 ,55.5 ,6.4 ,12.3 ,104.3 ,96.1 ,8.1 ,,,,,,,,,31594 ,14.2 
1975 ,2262600 ,,,,,1.5 ,,3791 ,1045 ,21.9 ,,15.6 ,58.8 ,52.3 ,6.4 ,12.4 ,99.8 ,91.7 ,8.1 ,,,,,,,,,28501 ,12.6 
