year,Total Population (Number),Total Population Growth (Per Cent),Population Density (Total Population Per Square Kilometre),Sex Ratio (Males Per Thousand Females),Old-Age Support Ratio:Residents Aged 15-64 Years Per Resident Aged 65 Years & Over (Number),Age Dependency Ratio:Residents Aged Under 15 Years And 65 Years Per Hundred Residents Aged 15-64 Years (Number),Child Dependency Ratio:Residents Aged Under 15 Years Per Hundred Residents Aged 15-64 Years (Number),Old-Age Dependency Ratio:Residents Aged 65 Years & Over Per Hundred Residents Aged 15-64 Years (Number),Old-Age Support Ratio:Residents Aged 20-64 Years Per Resident Aged 65 Years & Over (Number),Age Dependency Ratio:Residents Aged Under 20 Years And 65 Years & Over Per Hundred Residents Aged 20-64 Years (Number),Child Dependency Ratio:Residents Aged Under 20 Years Per Hundred Residents Aged 20-64 Years (Number),Old-Age Dependency Ratio:Residents Aged 65 Years & Over Per Hundred Residents Aged 20-64 Years (Number),Old-Age Support Ratio:Citizens Aged 15-64 Years Per Citizen Aged 65 Years & Over (Number),Age Dependency Ratio:Citizens Aged Under 15 Years And 65 Years & Over Per Hundred Citizens Aged 15-64 Years (Number),Child Dependency Ratio:Citizens Aged Under 15 Years Per Hundred Citizens Aged 15-64 Years (Number),Old-Age Dependency Ratio:Citizens Aged 65 Years & Over Per Hundred Citizens Aged 15-64 Years (Number),Old-Age Support Ratio:Citizens Aged 20-64 Years Per Citizen Aged 65 Years & Over (Number),Age Dependency Ratio:Citizens Aged Under 20 Years And 65 Years & Over Per Hundred Citizens Aged 20-64 Years (Number),Child Dependency Ratio:Citizens Aged Under 20 Years Per Hundred Citizens Aged 20-64 Years (Number),Old-Age Dependency Ratio:Citizens Aged 65 Years & Over Per Hundred Citizens Aged 20-64 Years (Number),Rate Of tural Increase (Per Thousand Residents)
1950,1022100,4.4,,1173,,,,,,,,,,,,,,,,,33.4
1951,1068100,4.5,,1159,,,,,,,,,,,,,,,,,33.4
1952,1127000,5.5,,1153,,,,,,,,,,,,,,,,,34.7
1953,1191800,5.7,,1149,,,,,,,,,,,,,,,,,36.1
1954,1248200,4.7,,1138,,,,,,,,,,,,,,,,,37.1
1955,1305500,4.6,,1129,,,,,,,,,,,,,,,,,36.2
1956,1371600,5.1,,1122,,,,,,,,,,,,,,,,,36.9
1957,1445929,5.4,2486.0,1117,25.6,81.7,77.8,3.9,21.3,119.1,114.3,4.7,,,,,,,,,35.3
1958,1518800,5.0,,1106,24.4,85.1,81.0,4.1,20.4,121.3,116.4,4.9,,,,,,,,,34.2
1959,1587200,4.5,,1098,23.7,87.6,83.4,4.2,20.0,122.1,117.1,5.0,,,,,,,,,32.9
1960,1646400,3.7,2831.0,1093,23.0,91.2,86.8,4.4,19.6,123.5,118.4,5.1,,,,,,,,,31.3
1961,1702400,3.4,2928.0,1087,22.8,92.7,88.3,4.4,19.6,124.4,119.3,5.1,,,,,,,,,29.3
1962,1750200,2.8,3010.0,1082,22.0,91.9,87.3,4.5,18.6,126.7,121.3,5.4,,,,,,,,,27.9
1963,1795000,2.6,3087.0,1073,21.5,90.9,86.3,4.7,17.8,129.8,124.2,5.6,,,,,,,,,27.5
1964,1841600,2.6,3167.0,1069,21.3,89.5,84.8,4.7,17.4,131.4,125.6,5.7,,,,,,,,,25.9
1965,1886900,2.5,3245.0,1066,21.0,87.6,82.8,4.8,16.9,133.7,127.8,5.9,,,,,,,,,24.1
1966,1934400,2.5,3327.0,1061,20.2,86.3,81.3,4.9,16.0,135.0,128.7,6.2,,,,,,,,,22.9
